INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechOMvar,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,input.OM.var,OM.var
AP,electricity,biomass,biomass (conv CCS),2070,OM-var,0
AR,electricity,biomass,biomass (conv CCS),2070,OM-var,0
AS,electricity,biomass,biomass (conv CCS),2070,OM-var,0
BR,electricity,biomass,biomass (conv CCS),2070,OM-var,0
CG,electricity,biomass,biomass (conv CCS),2070,OM-var,0
CH,electricity,biomass,biomass (conv CCS),2070,OM-var,0
DD,electricity,biomass,biomass (conv CCS),2070,OM-var,0
DL,electricity,biomass,biomass (conv CCS),2070,OM-var,0
DN,electricity,biomass,biomass (conv CCS),2070,OM-var,0
GA,electricity,biomass,biomass (conv CCS),2070,OM-var,0
GJ,electricity,biomass,biomass (conv CCS),2070,OM-var,0
HP,electricity,biomass,biomass (conv CCS),2070,OM-var,0
HR,electricity,biomass,biomass (conv CCS),2070,OM-var,0
JH,electricity,biomass,biomass (conv CCS),2070,OM-var,0
JK,electricity,biomass,biomass (conv CCS),2070,OM-var,0
KA,electricity,biomass,biomass (conv CCS),2070,OM-var,0
KL,electricity,biomass,biomass (conv CCS),2070,OM-var,0
LA,electricity,biomass,biomass (conv CCS),2070,OM-var,0
LD,electricity,biomass,biomass (conv CCS),2070,OM-var,0
MH,electricity,biomass,biomass (conv CCS),2070,OM-var,0
ML,electricity,biomass,biomass (conv CCS),2070,OM-var,0
MN,electricity,biomass,biomass (conv CCS),2070,OM-var,0
MP,electricity,biomass,biomass (conv CCS),2070,OM-var,0
MZ,electricity,biomass,biomass (conv CCS),2070,OM-var,0
NL,electricity,biomass,biomass (conv CCS),2070,OM-var,0
OD,electricity,biomass,biomass (conv CCS),2070,OM-var,0
PB,electricity,biomass,biomass (conv CCS),2070,OM-var,0
PC,electricity,biomass,biomass (conv CCS),2070,OM-var,0
RJ,electricity,biomass,biomass (conv CCS),2070,OM-var,0
SK,electricity,biomass,biomass (conv CCS),2070,OM-var,0
TN,electricity,biomass,biomass (conv CCS),2070,OM-var,0
TR,electricity,biomass,biomass (conv CCS),2070,OM-var,0
TS,electricity,biomass,biomass (conv CCS),2070,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2070,OM-var,0
UP,electricity,biomass,biomass (conv CCS),2070,OM-var,0
WB,electricity,biomass,biomass (conv CCS),2070,OM-var,0
AN,electricity,biomass,biomass (conv CCS),2075,OM-var,0
AP,electricity,biomass,biomass (conv CCS),2075,OM-var,0
AR,electricity,biomass,biomass (conv CCS),2075,OM-var,0
AS,electricity,biomass,biomass (conv CCS),2075,OM-var,0
BR,electricity,biomass,biomass (conv CCS),2075,OM-var,0
CG,electricity,biomass,biomass (conv CCS),2075,OM-var,0
CH,electricity,biomass,biomass (conv CCS),2075,OM-var,0
DD,electricity,biomass,biomass (conv CCS),2075,OM-var,0
DL,electricity,biomass,biomass (conv CCS),2075,OM-var,0
DN,electricity,biomass,biomass (conv CCS),2075,OM-var,0
GA,electricity,biomass,biomass (conv CCS),2075,OM-var,0
GJ,electricity,biomass,biomass (conv CCS),2075,OM-var,0
HP,electricity,biomass,biomass (conv CCS),2075,OM-var,0
HR,electricity,biomass,biomass (conv CCS),2075,OM-var,0
JH,electricity,biomass,biomass (conv CCS),2075,OM-var,0
JK,electricity,biomass,biomass (conv CCS),2075,OM-var,0
KA,electricity,biomass,biomass (conv CCS),2075,OM-var,0
KL,electricity,biomass,biomass (conv CCS),2075,OM-var,0
LA,electricity,biomass,biomass (conv CCS),2075,OM-var,0
LD,electricity,biomass,biomass (conv CCS),2075,OM-var,0
MH,electricity,biomass,biomass (conv CCS),2075,OM-var,0
ML,electricity,biomass,biomass (conv CCS),2075,OM-var,0
MN,electricity,biomass,biomass (conv CCS),2075,OM-var,0
MP,electricity,biomass,biomass (conv CCS),2075,OM-var,0
MZ,electricity,biomass,biomass (conv CCS),2075,OM-var,0
NL,electricity,biomass,biomass (conv CCS),2075,OM-var,0
OD,electricity,biomass,biomass (conv CCS),2075,OM-var,0
PB,electricity,biomass,biomass (conv CCS),2075,OM-var,0
PC,electricity,biomass,biomass (conv CCS),2075,OM-var,0
RJ,electricity,biomass,biomass (conv CCS),2075,OM-var,0
SK,electricity,biomass,biomass (conv CCS),2075,OM-var,0
TN,electricity,biomass,biomass (conv CCS),2075,OM-var,0
TR,electricity,biomass,biomass (conv CCS),2075,OM-var,0
TS,electricity,biomass,biomass (conv CCS),2075,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2075,OM-var,0
UP,electricity,biomass,biomass (conv CCS),2075,OM-var,0
WB,electricity,biomass,biomass (conv CCS),2075,OM-var,0
AN,electricity,biomass,biomass (conv CCS),2080,OM-var,0
AP,electricity,biomass,biomass (conv CCS),2080,OM-var,0
AR,electricity,biomass,biomass (conv CCS),2080,OM-var,0
AS,electricity,biomass,biomass (conv CCS),2080,OM-var,0
BR,electricity,biomass,biomass (conv CCS),2080,OM-var,0
CG,electricity,biomass,biomass (conv CCS),2080,OM-var,0
CH,electricity,biomass,biomass (conv CCS),2080,OM-var,0
DD,electricity,biomass,biomass (conv CCS),2080,OM-var,0
DL,electricity,biomass,biomass (conv CCS),2080,OM-var,0
DN,electricity,biomass,biomass (conv CCS),2080,OM-var,0
GA,electricity,biomass,biomass (conv CCS),2080,OM-var,0
GJ,electricity,biomass,biomass (conv CCS),2080,OM-var,0
HP,electricity,biomass,biomass (conv CCS),2080,OM-var,0
HR,electricity,biomass,biomass (conv CCS),2080,OM-var,0
JH,electricity,biomass,biomass (conv CCS),2080,OM-var,0
JK,electricity,biomass,biomass (conv CCS),2080,OM-var,0
KA,electricity,biomass,biomass (conv CCS),2080,OM-var,0
KL,electricity,biomass,biomass (conv CCS),2080,OM-var,0
LA,electricity,biomass,biomass (conv CCS),2080,OM-var,0
LD,electricity,biomass,biomass (conv CCS),2080,OM-var,0
MH,electricity,biomass,biomass (conv CCS),2080,OM-var,0
ML,electricity,biomass,biomass (conv CCS),2080,OM-var,0
MN,electricity,biomass,biomass (conv CCS),2080,OM-var,0
MP,electricity,biomass,biomass (conv CCS),2080,OM-var,0
MZ,electricity,biomass,biomass (conv CCS),2080,OM-var,0
NL,electricity,biomass,biomass (conv CCS),2080,OM-var,0
OD,electricity,biomass,biomass (conv CCS),2080,OM-var,0
PB,electricity,biomass,biomass (conv CCS),2080,OM-var,0
PC,electricity,biomass,biomass (conv CCS),2080,OM-var,0
RJ,electricity,biomass,biomass (conv CCS),2080,OM-var,0
SK,electricity,biomass,biomass (conv CCS),2080,OM-var,0
TN,electricity,biomass,biomass (conv CCS),2080,OM-var,0
TR,electricity,biomass,biomass (conv CCS),2080,OM-var,0
TS,electricity,biomass,biomass (conv CCS),2080,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2080,OM-var,0
UP,electricity,biomass,biomass (conv CCS),2080,OM-var,0
WB,electricity,biomass,biomass (conv CCS),2080,OM-var,0
AN,electricity,biomass,biomass (conv CCS),2085,OM-var,0
AP,electricity,biomass,biomass (conv CCS),2085,OM-var,0
AR,electricity,biomass,biomass (conv CCS),2085,OM-var,0
AS,electricity,biomass,biomass (conv CCS),2085,OM-var,0
BR,electricity,biomass,biomass (conv CCS),2085,OM-var,0
CG,electricity,biomass,biomass (conv CCS),2085,OM-var,0
CH,electricity,biomass,biomass (conv CCS),2085,OM-var,0
DD,electricity,biomass,biomass (conv CCS),2085,OM-var,0
DL,electricity,biomass,biomass (conv CCS),2085,OM-var,0
DN,electricity,biomass,biomass (conv CCS),2085,OM-var,0
GA,electricity,biomass,biomass (conv CCS),2085,OM-var,0
GJ,electricity,biomass,biomass (conv CCS),2085,OM-var,0
HP,electricity,biomass,biomass (conv CCS),2085,OM-var,0
HR,electricity,biomass,biomass (conv CCS),2085,OM-var,0
JH,electricity,biomass,biomass (conv CCS),2085,OM-var,0
JK,electricity,biomass,biomass (conv CCS),2085,OM-var,0
KA,electricity,biomass,biomass (conv CCS),2085,OM-var,0
KL,electricity,biomass,biomass (conv CCS),2085,OM-var,0
LA,electricity,biomass,biomass (conv CCS),2085,OM-var,0
LD,electricity,biomass,biomass (conv CCS),2085,OM-var,0
MH,electricity,biomass,biomass (conv CCS),2085,OM-var,0
ML,electricity,biomass,biomass (conv CCS),2085,OM-var,0
MN,electricity,biomass,biomass (conv CCS),2085,OM-var,0
MP,electricity,biomass,biomass (conv CCS),2085,OM-var,0
MZ,electricity,biomass,biomass (conv CCS),2085,OM-var,0
NL,electricity,biomass,biomass (conv CCS),2085,OM-var,0
OD,electricity,biomass,biomass (conv CCS),2085,OM-var,0
PB,electricity,biomass,biomass (conv CCS),2085,OM-var,0
PC,electricity,biomass,biomass (conv CCS),2085,OM-var,0
RJ,electricity,biomass,biomass (conv CCS),2085,OM-var,0
SK,electricity,biomass,biomass (conv CCS),2085,OM-var,0
TN,electricity,biomass,biomass (conv CCS),2085,OM-var,0
TR,electricity,biomass,biomass (conv CCS),2085,OM-var,0
TS,electricity,biomass,biomass (conv CCS),2085,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2085,OM-var,0
UP,electricity,biomass,biomass (conv CCS),2085,OM-var,0
WB,electricity,biomass,biomass (conv CCS),2085,OM-var,0
AN,electricity,biomass,biomass (conv CCS),2090,OM-var,0
AP,electricity,biomass,biomass (conv CCS),2090,OM-var,0
AR,electricity,biomass,biomass (conv CCS),2090,OM-var,0
AS,electricity,biomass,biomass (conv CCS),2090,OM-var,0
BR,electricity,biomass,biomass (conv CCS),2090,OM-var,0
CG,electricity,biomass,biomass (conv CCS),2090,OM-var,0
CH,electricity,biomass,biomass (conv CCS),2090,OM-var,0
DD,electricity,biomass,biomass (conv CCS),2090,OM-var,0
DL,electricity,biomass,biomass (conv CCS),2090,OM-var,0
DN,electricity,biomass,biomass (conv CCS),2090,OM-var,0
GA,electricity,biomass,biomass (conv CCS),2090,OM-var,0
GJ,electricity,biomass,biomass (conv CCS),2090,OM-var,0
HP,electricity,biomass,biomass (conv CCS),2090,OM-var,0
HR,electricity,biomass,biomass (conv CCS),2090,OM-var,0
JH,electricity,biomass,biomass (conv CCS),2090,OM-var,0
JK,electricity,biomass,biomass (conv CCS),2090,OM-var,0
KA,electricity,biomass,biomass (conv CCS),2090,OM-var,0
KL,electricity,biomass,biomass (conv CCS),2090,OM-var,0
LA,electricity,biomass,biomass (conv CCS),2090,OM-var,0
LD,electricity,biomass,biomass (conv CCS),2090,OM-var,0
MH,electricity,biomass,biomass (conv CCS),2090,OM-var,0
ML,electricity,biomass,biomass (conv CCS),2090,OM-var,0
MN,electricity,biomass,biomass (conv CCS),2090,OM-var,0
MP,electricity,biomass,biomass (conv CCS),2090,OM-var,0
MZ,electricity,biomass,biomass (conv CCS),2090,OM-var,0
NL,electricity,biomass,biomass (conv CCS),2090,OM-var,0
OD,electricity,biomass,biomass (conv CCS),2090,OM-var,0
PB,electricity,biomass,biomass (conv CCS),2090,OM-var,0
PC,electricity,biomass,biomass (conv CCS),2090,OM-var,0
RJ,electricity,biomass,biomass (conv CCS),2090,OM-var,0
SK,electricity,biomass,biomass (conv CCS),2090,OM-var,0
TN,electricity,biomass,biomass (conv CCS),2090,OM-var,0
TR,electricity,biomass,biomass (conv CCS),2090,OM-var,0
TS,electricity,biomass,biomass (conv CCS),2090,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2090,OM-var,0
UP,electricity,biomass,biomass (conv CCS),2090,OM-var,0
WB,electricity,biomass,biomass (conv CCS),2090,OM-var,0
AN,electricity,biomass,biomass (conv CCS),2095,OM-var,0
AP,electricity,biomass,biomass (conv CCS),2095,OM-var,0
AR,electricity,biomass,biomass (conv CCS),2095,OM-var,0
AS,electricity,biomass,biomass (conv CCS),2095,OM-var,0
BR,electricity,biomass,biomass (conv CCS),2095,OM-var,0
CG,electricity,biomass,biomass (conv CCS),2095,OM-var,0
CH,electricity,biomass,biomass (conv CCS),2095,OM-var,0
DD,electricity,biomass,biomass (conv CCS),2095,OM-var,0
DL,electricity,biomass,biomass (conv CCS),2095,OM-var,0
DN,electricity,biomass,biomass (conv CCS),2095,OM-var,0
GA,electricity,biomass,biomass (conv CCS),2095,OM-var,0
GJ,electricity,biomass,biomass (conv CCS),2095,OM-var,0
HP,electricity,biomass,biomass (conv CCS),2095,OM-var,0
HR,electricity,biomass,biomass (conv CCS),2095,OM-var,0
JH,electricity,biomass,biomass (conv CCS),2095,OM-var,0
JK,electricity,biomass,biomass (conv CCS),2095,OM-var,0
KA,electricity,biomass,biomass (conv CCS),2095,OM-var,0
KL,electricity,biomass,biomass (conv CCS),2095,OM-var,0
LA,electricity,biomass,biomass (conv CCS),2095,OM-var,0
LD,electricity,biomass,biomass (conv CCS),2095,OM-var,0
MH,electricity,biomass,biomass (conv CCS),2095,OM-var,0
ML,electricity,biomass,biomass (conv CCS),2095,OM-var,0
MN,electricity,biomass,biomass (conv CCS),2095,OM-var,0
MP,electricity,biomass,biomass (conv CCS),2095,OM-var,0
MZ,electricity,biomass,biomass (conv CCS),2095,OM-var,0
NL,electricity,biomass,biomass (conv CCS),2095,OM-var,0
OD,electricity,biomass,biomass (conv CCS),2095,OM-var,0
PB,electricity,biomass,biomass (conv CCS),2095,OM-var,0
PC,electricity,biomass,biomass (conv CCS),2095,OM-var,0
RJ,electricity,biomass,biomass (conv CCS),2095,OM-var,0
SK,electricity,biomass,biomass (conv CCS),2095,OM-var,0
TN,electricity,biomass,biomass (conv CCS),2095,OM-var,0
TR,electricity,biomass,biomass (conv CCS),2095,OM-var,0
TS,electricity,biomass,biomass (conv CCS),2095,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2095,OM-var,0
UP,electricity,biomass,biomass (conv CCS),2095,OM-var,0
WB,electricity,biomass,biomass (conv CCS),2095,OM-var,0
AN,electricity,biomass,biomass (conv CCS),2100,OM-var,0
AP,electricity,biomass,biomass (conv CCS),2100,OM-var,0
AR,electricity,biomass,biomass (conv CCS),2100,OM-var,0
AS,electricity,biomass,biomass (conv CCS),2100,OM-var,0
BR,electricity,biomass,biomass (conv CCS),2100,OM-var,0
CG,electricity,biomass,biomass (conv CCS),2100,OM-var,0
CH,electricity,biomass,biomass (conv CCS),2100,OM-var,0
DD,electricity,biomass,biomass (conv CCS),2100,OM-var,0
DL,electricity,biomass,biomass (conv CCS),2100,OM-var,0
DN,electricity,biomass,biomass (conv CCS),2100,OM-var,0
GA,electricity,biomass,biomass (conv CCS),2100,OM-var,0
GJ,electricity,biomass,biomass (conv CCS),2100,OM-var,0
HP,electricity,biomass,biomass (conv CCS),2100,OM-var,0
HR,electricity,biomass,biomass (conv CCS),2100,OM-var,0
JH,electricity,biomass,biomass (conv CCS),2100,OM-var,0
JK,electricity,biomass,biomass (conv CCS),2100,OM-var,0
KA,electricity,biomass,biomass (conv CCS),2100,OM-var,0
KL,electricity,biomass,biomass (conv CCS),2100,OM-var,0
LA,electricity,biomass,biomass (conv CCS),2100,OM-var,0
LD,electricity,biomass,biomass (conv CCS),2100,OM-var,0
MH,electricity,biomass,biomass (conv CCS),2100,OM-var,0
ML,electricity,biomass,biomass (conv CCS),2100,OM-var,0
MN,electricity,biomass,biomass (conv CCS),2100,OM-var,0
MP,electricity,biomass,biomass (conv CCS),2100,OM-var,0
MZ,electricity,biomass,biomass (conv CCS),2100,OM-var,0
NL,electricity,biomass,biomass (conv CCS),2100,OM-var,0
OD,electricity,biomass,biomass (conv CCS),2100,OM-var,0
PB,electricity,biomass,biomass (conv CCS),2100,OM-var,0
PC,electricity,biomass,biomass (conv CCS),2100,OM-var,0
RJ,electricity,biomass,biomass (conv CCS),2100,OM-var,0
SK,electricity,biomass,biomass (conv CCS),2100,OM-var,0
TN,electricity,biomass,biomass (conv CCS),2100,OM-var,0
TR,electricity,biomass,biomass (conv CCS),2100,OM-var,0
TS,electricity,biomass,biomass (conv CCS),2100,OM-var,0
UK,electricity,biomass,biomass (conv CCS),2100,OM-var,0
UP,electricity,biomass,biomass (conv CCS),2100,OM-var,0
WB,electricity,biomass,biomass (conv CCS),2100,OM-var,0
AN,electricity,biomass,biomass (conv),2010,OM-var,0
AP,electricity,biomass,biomass (conv),2010,OM-var,0
AR,electricity,biomass,biomass (conv),2010,OM-var,0
AS,electricity,biomass,biomass (conv),2010,OM-var,0
BR,electricity,biomass,biomass (conv),2010,OM-var,0
CG,electricity,biomass,biomass (conv),2010,OM-var,0
CH,electricity,biomass,biomass (conv),2010,OM-var,0
DD,electricity,biomass,biomass (conv),2010,OM-var,0
DL,electricity,biomass,biomass (conv),2010,OM-var,0
DN,electricity,biomass,biomass (conv),2010,OM-var,0
GA,electricity,biomass,biomass (conv),2010,OM-var,0
GJ,electricity,biomass,biomass (conv),2010,OM-var,0
HP,electricity,biomass,biomass (conv),2010,OM-var,0
HR,electricity,biomass,biomass (conv),2010,OM-var,0
JH,electricity,biomass,biomass (conv),2010,OM-var,0
JK,electricity,biomass,biomass (conv),2010,OM-var,0
KA,electricity,biomass,biomass (conv),2010,OM-var,0
KL,electricity,biomass,biomass (conv),2010,OM-var,0
LA,electricity,biomass,biomass (conv),2010,OM-var,0
LD,electricity,biomass,biomass (conv),2010,OM-var,0
MH,electricity,biomass,biomass (conv),2010,OM-var,0
ML,electricity,biomass,biomass (conv),2010,OM-var,0
MN,electricity,biomass,biomass (conv),2010,OM-var,0
MP,electricity,biomass,biomass (conv),2010,OM-var,0
MZ,electricity,biomass,biomass (conv),2010,OM-var,0
NL,electricity,biomass,biomass (conv),2010,OM-var,0
OD,electricity,biomass,biomass (conv),2010,OM-var,0
PB,electricity,biomass,biomass (conv),2010,OM-var,0
PC,electricity,biomass,biomass (conv),2010,OM-var,0
RJ,electricity,biomass,biomass (conv),2010,OM-var,0
SK,electricity,biomass,biomass (conv),2010,OM-var,0
TN,electricity,biomass,biomass (conv),2010,OM-var,0
TR,electricity,biomass,biomass (conv),2010,OM-var,0
TS,electricity,biomass,biomass (conv),2010,OM-var,0
UK,electricity,biomass,biomass (conv),2010,OM-var,0
UP,electricity,biomass,biomass (conv),2010,OM-var,0
WB,electricity,biomass,biomass (conv),2010,OM-var,0
AN,electricity,biomass,biomass (conv),2015,OM-var,0
AP,electricity,biomass,biomass (conv),2015,OM-var,0
AR,electricity,biomass,biomass (conv),2015,OM-var,0
AS,electricity,biomass,biomass (conv),2015,OM-var,0
BR,electricity,biomass,biomass (conv),2015,OM-var,0
CG,electricity,biomass,biomass (conv),2015,OM-var,0
CH,electricity,biomass,biomass (conv),2015,OM-var,0
DD,electricity,biomass,biomass (conv),2015,OM-var,0
DL,electricity,biomass,biomass (conv),2015,OM-var,0
DN,electricity,biomass,biomass (conv),2015,OM-var,0
GA,electricity,biomass,biomass (conv),2015,OM-var,0
GJ,electricity,biomass,biomass (conv),2015,OM-var,0
HP,electricity,biomass,biomass (conv),2015,OM-var,0
HR,electricity,biomass,biomass (conv),2015,OM-var,0
JH,electricity,biomass,biomass (conv),2015,OM-var,0
JK,electricity,biomass,biomass (conv),2015,OM-var,0
KA,electricity,biomass,biomass (conv),2015,OM-var,0
KL,electricity,biomass,biomass (conv),2015,OM-var,0
LA,electricity,biomass,biomass (conv),2015,OM-var,0
LD,electricity,biomass,biomass (conv),2015,OM-var,0
MH,electricity,biomass,biomass (conv),2015,OM-var,0
ML,electricity,biomass,biomass (conv),2015,OM-var,0
MN,electricity,biomass,biomass (conv),2015,OM-var,0
MP,electricity,biomass,biomass (conv),2015,OM-var,0
MZ,electricity,biomass,biomass (conv),2015,OM-var,0
NL,electricity,biomass,biomass (conv),2015,OM-var,0
OD,electricity,biomass,biomass (conv),2015,OM-var,0
PB,electricity,biomass,biomass (conv),2015,OM-var,0
PC,electricity,biomass,biomass (conv),2015,OM-var,0
RJ,electricity,biomass,biomass (conv),2015,OM-var,0
SK,electricity,biomass,biomass (conv),2015,OM-var,0
TN,electricity,biomass,biomass (conv),2015,OM-var,0
TR,electricity,biomass,biomass (conv),2015,OM-var,0
TS,electricity,biomass,biomass (conv),2015,OM-var,0
UK,electricity,biomass,biomass (conv),2015,OM-var,0
UP,electricity,biomass,biomass (conv),2015,OM-var,0
WB,electricity,biomass,biomass (conv),2015,OM-var,0
AN,electricity,biomass,biomass (conv),2020,OM-var,0
AP,electricity,biomass,biomass (conv),2020,OM-var,0
AR,electricity,biomass,biomass (conv),2020,OM-var,0
AS,electricity,biomass,biomass (conv),2020,OM-var,0
BR,electricity,biomass,biomass (conv),2020,OM-var,0
CG,electricity,biomass,biomass (conv),2020,OM-var,0
CH,electricity,biomass,biomass (conv),2020,OM-var,0
DD,electricity,biomass,biomass (conv),2020,OM-var,0
DL,electricity,biomass,biomass (conv),2020,OM-var,0
DN,electricity,biomass,biomass (conv),2020,OM-var,0
GA,electricity,biomass,biomass (conv),2020,OM-var,0
GJ,electricity,biomass,biomass (conv),2020,OM-var,0
HP,electricity,biomass,biomass (conv),2020,OM-var,0
HR,electricity,biomass,biomass (conv),2020,OM-var,0
JH,electricity,biomass,biomass (conv),2020,OM-var,0
JK,electricity,biomass,biomass (conv),2020,OM-var,0
KA,electricity,biomass,biomass (conv),2020,OM-var,0
KL,electricity,biomass,biomass (conv),2020,OM-var,0
LA,electricity,biomass,biomass (conv),2020,OM-var,0
LD,electricity,biomass,biomass (conv),2020,OM-var,0
MH,electricity,biomass,biomass (conv),2020,OM-var,0
ML,electricity,biomass,biomass (conv),2020,OM-var,0
MN,electricity,biomass,biomass (conv),2020,OM-var,0
MP,electricity,biomass,biomass (conv),2020,OM-var,0
MZ,electricity,biomass,biomass (conv),2020,OM-var,0
NL,electricity,biomass,biomass (conv),2020,OM-var,0
OD,electricity,biomass,biomass (conv),2020,OM-var,0
PB,electricity,biomass,biomass (conv),2020,OM-var,0
PC,electricity,biomass,biomass (conv),2020,OM-var,0
RJ,electricity,biomass,biomass (conv),2020,OM-var,0
SK,electricity,biomass,biomass (conv),2020,OM-var,0
TN,electricity,biomass,biomass (conv),2020,OM-var,0
TR,electricity,biomass,biomass (conv),2020,OM-var,0
TS,electricity,biomass,biomass (conv),2020,OM-var,0
